,mean,median,sd,iqr,skew,kurtosis,lower_fence,upper_fence,pct_outside_fence
order_value,137.0400013475692,86.5,209.05260846299177,104.0,9.88524606928615,276.9815481296104,-110.1,305.9,7.94
freight_total,22.785797657302787,17.17,21.559959446538638,10.17,12.27671060505811,585.9477255608842,-1.4049999999999994,39.275,10.05
delivery_days,12.496848761272934,10.0,9.555071259126025,9.0,3.826058388397655,39.229376385190555,-6.5,29.5,4.9
delay_days,-11.875888877371203,-12.0,10.182105073994862,10.0,2.016131987580744,28.068805340888723,-32.0,8.0,4.45
